,0,1,2,3,4,5,6,7,8,9
956,1,2,1,1,2,2,2,1,2,0
19,2,2,2,1,2,0,1,0,1,1
799,1,2,0,1,0,0,1,2,2,0
852,1,0,2,2,1,2,0,0,1,0
70,2,2,2,0,0,1,1,2,1,1
664,2,2,0,1,1,1,2,2,1,0
508,0,2,1,1,1,0,2,2,2,1
18,2,2,2,1,2,0,1,1,0,1
88,2,2,1,1,2,1,2,1,2,1
938,0,0,1,2,1,0,1,2,2,0
475,1,0,0,2,2,2,1,0,0,1
491,0,2,2,1,1,2,0,1,2,1
870,1,0,1,1,2,2,1,2,2,0
925,0,1,0,2,1,2,0,1,2,0
715,2,0,2,0,2,0,1,1,1,0
685,2,1,2,0,1,2,2,1,1,0
501,0,2,1,1,2,2,1,2,0,1
707,2,0,2,2,0,0,1,1,1,0
420,1,1,0,0,1,2,2,2,2,1
903,0,2,1,0,2,1,2,0,1,0
650,2,2,1,0,2,1,0,0,1,0
62,2,2,2,0,1,1,0,0,0,1
316,1,2,2,0,1,2,0,1,2,1
551,0,1,2,0,2,2,1,1,2,1
772,1,2,2,0,1,0,2,0,1,0
23,2,2,2,1,1,2,1,1,2,1
795,1,2,0,1,1,2,2,2,1,0
524,0,2,0,0,2,1,0,2,1,1
132,2,1,2,1,1,2,1,2,2,1
345,1,2,0,2,2,2,1,1,0,1
75,2,2,2,0,0,0,1,1,0,1
5,2,2,2,2,1,1,0,0,1,1
732,2,0,1,0,1,0,1,2,2,0
559,0,1,2,0,1,1,2,2,2,1
488,0,2,2,1,2,0,2,1,1,1
709,2,0,2,1,1,1,2,2,1,0
572,0,1,1,1,0,2,2,2,2,1
779,1,2,1,2,1,0,2,2,1,0
367,1,1,2,2,2,2,1,1,2,1
754,1,2,2,1,1,2,2,0,1,0
949,2,1,2,1,1,2,2,2,1,0
291,2,0,0,1,2,0,0,1,2,1
751,1,2,2,1,2,1,1,0,2,0
290,2,0,0,1,2,0,1,0,2,1
218,2,1,0,0,2,1,1,2,2,1
592,0,0,2,1,2,1,2,2,1,1
35,2,2,2,1,0,2,1,0,1,1
33,2,2,2,1,1,0,0,0,0,1
924,0,1,0,2,1,2,2,1,0,0
113,2,1,2,2,2,1,2,1,1,1
651,2,2,1,0,1,2,1,2,1,0
188,2,1,0,2,2,2,1,0,1,1
252,2,0,1,2,1,0,2,1,2,1
412,1,1,0,2,2,2,0,2,1,1
844,1,1,1,0,0,2,2,2,0,0
382,1,1,2,1,2,2,2,1,2,1
461,1,0,1,2,2,2,1,0,2,1
469,1,0,1,0,2,1,2,2,2,1
497,0,2,1,2,2,2,1,0,1,1
173,2,1,1,1,2,1,2,2,2,1
324,1,2,1,2,2,1,1,2,2,1
225,2,0,2,2,1,0,2,1,1,1
238,2,0,2,0,1,2,1,1,2,1
845,1,1,1,0,0,2,2,0,2,0
63,2,2,2,0,1,0,2,1,1,1
323,1,2,1,2,2,2,0,0,1,1
379,1,1,2,2,0,2,1,0,2,1
282,2,0,0,2,1,0,2,0,1,1
827,1,1,1,2,0,2,0,2,0,0
658,2,2,1,0,0,1,2,0,1,0
351,1,2,0,1,2,2,0,2,1,1
398,1,1,2,0,2,0,2,2,1,1
603,0,0,2,0,2,1,2,0,1,1
777,1,2,1,2,1,2,1,0,2,0
549,0,1,2,1,0,1,2,2,2,1
59,2,2,2,0,1,1,1,0,2,1
147,2,1,1,2,2,2,1,0,0,1
872,1,0,0,2,1,2,0,2,1,0
663,2,2,0,1,2,2,1,1,1,0
176,2,1,1,1,1,2,2,2,2,1
89,2,2,1,1,2,1,1,2,2,1
922,0,1,1,2,1,2,2,1,2,0
478,1,0,0,2,1,1,2,2,2,1
414,1,1,0,2,2,2,0,0,0,1
357,1,2,0,1,0,1,2,2,2,1
794,1,2,0,1,2,0,1,0,2,0
768,1,2,2,0,1,2,2,1,1,0
569,0,1,1,2,1,0,2,2,2,1
676,2,1,2,2,1,0,1,1,2,0
21,2,2,2,1,1,2,2,1,1,1
460,1,0,1,2,2,2,1,2,0,1
835,1,1,1,0,2,2,2,2,1,0
423,1,0,2,2,2,2,1,0,1,1
397,1,1,2,0,2,1,2,0,2,1
202,2,1,0,2,0,1,2,2,1,1
582,0,1,0,2,1,1,2,2,2,1
2,2,2,2,2,1,1,1,1,2,1
818,1,1,1,2,2,0,0,2,0,0
439,1,0,2,1,1,2,2,0,2,1
517,0,2,0,1,2,2,1,2,1,1
471,1,0,1,0,0,0,2,2,2,1
786,1,2,0,2,1,2,2,1,1,0
432,1,0,2,1,2,2,2,0,1,1
293,2,0,0,0,2,1,0,1,2,1
204,2,1,0,2,0,1,2,0,0,1
902,0,2,1,1,1,2,1,2,2,0
673,2,1,2,2,1,2,1,1,0,0
744,1,2,2,2,1,1,0,2,1,0
106,2,2,0,1,2,1,1,0,2,1
544,0,1,2,1,1,2,0,2,2,1
821,1,1,1,2,1,2,2,0,2,0
164,2,1,1,2,0,2,2,0,1,1
236,2,0,2,0,2,1,2,1,1,1
405,1,1,2,0,0,2,1,2,2,1
669,2,2,0,1,1,1,0,0,2,0
853,1,0,2,2,1,1,2,2,1,0
897,0,2,1,2,1,1,1,2,2,0
437,1,0,2,1,2,0,2,1,2,1
876,1,0,0,1,2,0,1,2,2,0
32,2,2,2,1,1,0,0,1,2,1
554,0,1,2,0,2,1,2,0,0,1
499,0,2,1,2,2,1,1,2,0,1
935,0,0,1,2,2,1,0,2,1,0
347,1,2,0,2,2,2,0,1,1,1
909,0,2,0,2,0,2,1,1,1,0
359,1,2,0,0,2,1,2,2,1,1
356,1,2,0,1,1,0,2,2,2,1
277,2,0,0,2,1,2,2,1,1,1
942,2,2,1,1,2,2,2,1,1,0
630,2,2,1,2,1,2,1,0,1,0
539,0,1,2,1,2,1,2,0,2,1
94,2,2,1,1,2,0,0,2,1,1
714,2,0,2,1,1,1,0,0,2,0
609,0,0,1,2,2,2,1,2,1,1
77,2,2,2,0,0,0,0,1,1,1
275,2,0,0,2,2,1,2,1,1,1
692,2,1,1,2,1,2,1,0,2,0
380,1,1,2,2,0,2,0,1,2,1
506,0,2,1,1,2,0,1,2,2,1
736,2,0,0,1,1,1,2,2,0,0
406,1,1,2,0,0,2,0,0,2,1
110,2,2,0,1,2,0,1,1,2,1
448,1,0,2,0,2,1,2,1,2,1
81,2,2,1,2,1,1,2,0,0,1
672,2,1,2,2,2,0,1,1,1,0
597,0,0,2,1,1,2,2,1,2,1
620,0,0,0,2,2,2,1,1,0,1
836,1,1,1,0,2,2,2,1,2,0
868,1,0,1,2,1,2,2,2,1,0
209,2,1,0,1,2,1,2,0,2,1
129,2,1,2,1,2,0,2,0,1,1
355,1,2,0,1,2,0,0,2,0,1
71,2,2,2,0,0,1,1,1,2,1
837,1,1,1,0,2,2,2,0,0,0
256,2,0,1,2,0,1,2,0,0,1
612,0,0,1,2,2,2,0,1,0,1
45,2,2,2,1,0,0,1,2,1,1
691,2,1,1,2,1,2,1,2,0,0
377,1,1,2,2,1,2,0,0,2,1
153,2,1,1,2,2,1,0,0,2,1
809,1,1,2,1,2,0,1,2,2,0
327,1,2,1,2,2,0,0,2,1,1
540,0,1,2,1,2,0,2,2,1,1
215,2,1,0,1,0,1,2,2,2,1
829,1,1,1,2,0,0,2,2,0,0
250,2,0,1,2,1,1,2,0,2,1
217,2,1,0,0,2,1,2,1,2,1
26,2,2,2,1,1,2,0,0,1,1
362,1,2,0,0,2,0,1,2,0,1
923,0,1,1,2,1,2,1,2,2,0
615,0,0,1,1,2,1,2,2,2,1
408,1,1,0,2,2,2,2,1,0,1
67,2,2,2,0,1,0,0,1,0,1
191,2,1,0,2,2,1,2,0,1,1
393,1,1,2,0,2,2,2,0,1,1
576,0,1,0,2,2,2,2,1,1,1
8,2,2,2,2,1,0,0,1,1,1
626,2,2,1,2,2,1,1,0,1,0
413,1,1,0,2,2,2,0,1,2,1
907,0,2,1,0,0,1,2,2,1,0
224,2,0,2,2,1,1,2,0,1,1
579,0,1,0,2,2,2,1,0,0,1
950,2,1,1,1,2,2,2,2,1,0
208,2,1,0,1,2,2,0,1,2,1
614,0,0,1,2,1,1,2,2,2,1
192,2,1,0,2,2,1,1,0,2,1
509,0,2,1,1,0,1,2,2,2,1
564,0,1,1,2,2,2,1,2,0,1
179,2,1,1,0,2,2,0,1,2,1
287,2,0,0,1,2,1,2,1,2,1
858,1,0,2,1,2,1,1,2,2,0
330,1,2,1,1,2,2,0,2,0,1
545,0,1,2,1,1,0,2,2,2,1
512,0,2,1,0,2,1,0,2,0,1
426,1,0,2,2,2,1,2,0,1,1
655,2,2,1,0,1,1,1,2,2,0
454,1,0,2,0,1,2,0,0,2,1
584,0,1,0,1,1,2,2,2,2,1
518,0,2,0,1,2,1,2,2,1,1
315,1,2,2,0,1,2,1,0,2,1
927,0,1,0,0,1,2,2,1,2,0
194,2,1,0,2,2,0,2,1,1,1
105,2,2,0,1,2,1,1,2,0,1
261,2,0,1,1,2,1,2,0,2,1
151,2,1,1,2,2,1,2,0,0,1
589,0,0,2,2,1,2,1,1,2,1
142,2,1,2,0,1,2,1,0,2,1
233,2,0,2,1,1,2,1,0,2,1
313,1,2,2,0,2,0,2,1,1,1
462,1,0,1,2,2,2,0,2,1,1
550,0,1,2,0,2,2,2,1,1,1
951,1,2,2,2,2,1,1,1,2,0
134,2,1,2,1,0,2,1,0,2,1
297,1,2,2,2,1,2,1,1,2,1
311,1,2,2,0,2,1,1,2,0,1
433,1,0,2,1,2,2,0,1,2,1
301,1,2,2,1,2,1,2,0,0,1
681,2,1,2,1,1,1,2,0,2,0
220,2,1,0,0,2,0,1,0,2,1
139,2,1,2,0,2,1,0,1,2,1
542,0,1,2,1,2,0,2,0,0,1
82,2,2,1,2,1,0,2,1,0,1
298,1,2,2,1,2,2,2,1,1,1
677,2,1,2,2,1,0,0,1,0,0
112,2,2,0,0,2,1,1,1,2,1
122,2,1,2,1,2,2,1,1,2,1
906,0,2,1,0,1,0,1,2,2,0
165,2,1,1,2,0,1,2,2,0,1
229,2,0,2,1,2,1,1,0,2,1
750,1,2,2,1,2,2,1,0,1,0
248,2,0,1,2,1,2,2,0,1,1
446,1,0,2,0,2,2,1,1,2,1
328,1,2,1,2,1,1,2,2,2,1
340,1,2,1,0,2,0,2,2,1,1
581,0,1,0,2,2,2,0,0,1,1
788,1,2,0,2,1,2,0,0,1,0
247,2,0,1,2,1,2,2,1,0,1
493,0,2,2,0,2,1,2,1,1,1
339,1,2,1,0,2,1,0,2,2,1
695,2,1,1,0,2,1,2,2,1,0
126,2,1,2,1,2,1,1,2,2,1
782,1,2,1,1,2,2,1,0,2,0
456,1,0,2,0,0,2,1,0,2,1
710,2,0,2,1,1,1,2,1,2,0
114,2,1,2,2,2,1,1,1,2,1
364,1,2,0,0,1,1,2,2,2,1
361,1,2,0,0,2,1,0,2,0,1
127,2,1,2,1,2,1,0,0,2,1
213,2,1,0,1,2,0,0,0,2,1
37,2,2,2,1,0,1,2,1,0,1
463,1,0,1,2,2,2,0,1,2,1
641,2,2,1,1,1,2,1,2,0,0
195,2,1,0,2,2,0,1,1,2,1
353,1,2,0,1,2,1,0,2,2,1
740,1,2,2,2,2,0,1,1,1,0
234,2,0,2,1,1,2,0,1,2,1
425,1,0,2,2,2,1,2,1,0,1
712,2,0,2,1,1,1,1,2,2,0
286,2,0,0,1,2,2,1,1,2,1
869,1,0,1,2,1,2,1,2,2,0
93,2,2,1,1,2,0,1,0,2,1
455,1,0,2,0,1,1,2,2,2,1
757,1,2,2,1,1,1,2,2,0,0
599,0,0,2,1,1,2,0,0,2,1
440,1,0,2,1,1,2,0,2,2,1
431,1,0,2,1,2,2,2,1,0,1
503,0,2,1,1,2,1,2,2,0,1
616,0,0,1,1,1,2,2,2,2,1
221,2,1,0,0,2,0,0,1,2,1
830,1,1,1,2,0,0,2,0,2,0
450,1,0,2,0,2,0,2,1,0,1
260,2,0,1,1,2,2,0,1,2,1
671,2,2,0,0,0,2,1,1,1,0
944,2,2,1,1,1,2,2,1,2,0
804,1,1,2,2,1,2,2,0,1,0
764,1,2,2,1,0,1,1,2,2,0
841,1,1,1,0,2,0,2,2,0,0
898,0,2,1,2,1,0,1,2,0,0
737,2,0,0,1,1,1,2,0,2,0
484,0,2,2,1,2,1,2,1,0,1
200,2,1,0,2,1,0,2,0,0,1
633,2,2,1,2,1,1,0,2,1,0
590,0,0,2,1,2,2,2,1,1,1
479,1,0,0,1,2,1,2,2,2,1
679,2,1,2,1,1,2,2,1,0,0
54,2,2,2,0,1,2,1,0,1,1
912,0,2,0,1,1,1,0,2,2,0
161,2,1,1,2,1,0,2,2,0,1
417,1,1,0,1,2,0,2,2,2,1
605,0,0,2,0,1,2,1,0,2,1
700,2,1,0,2,1,0,0,1,2,0
642,2,2,1,1,1,2,1,0,2,0
556,0,1,2,0,2,0,2,0,1,1
617,0,0,1,1,0,0,2,2,2,1
244,2,0,1,2,2,1,0,1,2,1
638,2,2,1,2,0,1,1,2,1,0
421,1,1,0,0,0,0,2,2,2,1
703,2,1,0,0,1,2,0,1,2,0
183,2,1,1,0,2,0,1,2,2,1
934,0,0,1,2,2,1,2,0,1,0
121,2,1,2,1,2,2,2,1,1,1
519,0,2,0,1,2,1,1,2,2,1
570,0,1,1,2,0,1,2,2,2,1
726,2,0,1,1,2,1,2,2,1,0
438,1,0,2,1,2,0,2,0,0,1
205,2,1,0,2,0,0,2,1,0,1
123,2,1,2,1,2,1,2,2,1,1
915,0,1,2,2,1,2,0,1,0,0
163,2,1,1,2,0,2,2,1,0,1
360,1,2,0,0,2,1,1,2,2,1
796,1,2,0,1,1,2,1,2,2,0
27,2,2,2,1,1,0,2,1,0,1
873,1,0,0,2,1,0,2,2,1,0
103,2,2,0,2,1,0,2,1,1,1
394,1,1,2,0,2,2,1,0,2,1
481,1,0,0,1,0,0,2,2,2,1
857,1,0,2,1,2,2,1,0,0,0
65,2,2,2,0,1,0,1,1,2,1
704,2,1,0,0,1,0,2,1,2,0
211,2,1,0,1,2,0,2,1,2,1
932,0,0,2,1,1,1,0,2,2,0
742,1,2,2,2,1,2,0,1,1,0
363,1,2,0,0,2,0,0,2,1,1
680,2,1,2,1,1,1,2,2,0,0
341,1,2,1,0,2,0,1,2,2,1
843,1,1,1,0,2,0,0,2,2,0
334,1,2,1,1,1,2,2,2,2,1
43,2,2,2,1,0,1,0,0,0,1
7,2,2,2,2,1,0,1,0,1,1
109,2,2,0,1,2,0,1,2,1,1
515,0,2,1,0,1,1,2,2,2,1
314,1,2,2,0,2,0,1,2,1,1
656,2,2,1,0,1,0,1,2,0,0
745,1,2,2,2,1,0,2,1,1,0
48,2,2,2,1,0,0,0,1,0,1
325,1,2,1,2,2,1,0,2,0,1
785,1,2,1,0,1,2,1,2,2,0
863,1,0,2,1,0,0,1,2,2,0
264,2,0,1,1,2,0,1,2,2,1
500,0,2,1,2,2,0,1,2,1,1
267,2,0,1,1,0,1,2,2,2,1
273,2,0,1,0,2,0,0,1,2,1
618,0,0,1,0,1,0,2,2,2,1
146,2,1,1,2,2,2,1,1,2,1
747,1,2,2,2,1,0,0,0,1,0
337,1,2,1,0,2,2,0,2,1,1
773,1,2,2,0,1,0,0,2,1,0
699,2,1,0,2,1,2,0,1,0,0
254,2,0,1,2,0,2,2,1,1,1
637,2,2,1,2,0,2,1,1,1,0
504,0,2,1,1,2,1,0,2,2,1
535,0,1,2,1,2,2,2,0,1,1
727,2,0,1,1,1,2,1,2,2,0
321,1,2,1,2,2,2,1,0,0,1
793,1,2,0,1,2,2,1,0,0,0
470,1,0,1,0,1,2,2,2,2,1
758,1,2,2,1,1,1,2,0,2,0
198,2,1,0,2,1,1,2,0,2,1
459,1,0,1,2,2,2,2,0,1,1
370,1,1,2,2,2,2,0,0,1,1
137,2,1,2,0,2,1,2,0,1,1
621,0,0,0,2,2,2,1,0,1,1
154,2,1,1,2,2,0,2,1,0,1
336,1,2,1,0,2,2,1,2,0,1
237,2,0,2,0,2,1,1,1,2,1
249,2,0,1,2,1,1,2,2,0,1
716,2,0,2,0,0,2,1,1,1,0
395,1,1,2,0,2,2,0,1,2,1
352,1,2,0,1,2,1,2,2,0,1
46,2,2,2,1,0,0,1,1,2,1
258,2,0,1,2,0,0,2,0,1,1
865,1,0,2,0,1,2,0,2,1,0
92,2,2,1,1,2,0,1,2,0,1
348,1,2,0,2,2,1,1,2,0,1
846,1,1,1,0,0,2,0,2,2,0
100,2,2,1,0,2,0,1,1,2,1
239,2,0,1,2,2,2,1,1,0,1
467,1,0,1,1,2,0,2,2,2,1
920,0,1,2,0,1,0,2,1,2,0
880,0,2,2,2,1,2,1,1,1,0
746,1,2,2,2,1,0,1,2,1,0
600,0,0,2,1,0,2,1,0,2,1
388,1,1,2,1,1,2,2,2,2,1
117,2,1,2,2,1,0,2,0,1,1
36,2,2,2,1,0,2,0,1,1,1
331,1,2,1,1,2,1,2,2,2,1
465,1,0,1,2,1,0,2,2,2,1
636,2,2,1,2,1,0,1,0,0,0
199,2,1,0,2,1,0,2,2,1,1
83,2,2,1,2,1,0,2,0,1,1
246,2,0,1,2,2,0,1,1,2,1
604,0,0,2,0,2,0,2,1,1,1
640,2,2,1,1,2,1,2,0,1,0
738,2,0,0,1,1,1,0,2,2,0
533,0,1,2,2,0,2,1,1,2,1
834,1,1,1,1,2,2,0,2,2,0
632,2,2,1,2,1,1,1,0,2,0
623,0,0,0,1,1,0,2,2,2,1
760,1,2,2,1,1,0,2,2,1,0
85,2,2,1,2,0,0,2,1,1,1
767,1,2,2,0,2,2,1,1,1,0
739,2,0,0,0,2,2,1,1,1,0
322,1,2,1,2,2,2,0,1,0,1
763,1,2,2,1,0,2,1,0,0,0
51,2,2,2,0,2,1,1,0,1,1
12,2,2,2,1,2,1,2,1,1,1
694,2,1,1,2,1,0,1,2,2,0
458,1,0,1,2,2,2,2,1,0,1
124,2,1,2,1,2,1,2,1,2,1
839,1,1,1,0,2,2,0,2,0,0
580,0,1,0,2,2,2,0,1,0,1
774,1,2,1,2,2,1,2,0,1,0
136,2,1,2,0,2,1,2,1,0,1
472,1,0,0,2,2,2,2,1,1,1
259,2,0,1,1,2,2,1,0,2,1
662,2,2,0,2,0,0,1,1,1,0
20,2,2,2,1,2,0,0,1,1,1
624,0,0,0,1,0,1,2,2,2,1
299,1,2,2,1,2,1,2,2,1,1
73,2,2,2,0,0,1,0,1,0,1
253,2,0,1,2,1,0,2,0,0,1
90,2,2,1,1,2,1,0,2,0,1
61,2,2,2,0,1,1,0,1,2,1
492,0,2,2,1,0,2,1,1,2,1
947,2,1,2,2,1,1,1,2,2,0
289,2,0,0,1,2,1,0,0,2,1
375,1,1,2,2,2,0,2,0,1,1
60,2,2,2,0,1,1,0,2,1,1
482,1,0,0,0,1,0,2,2,2,1
587,0,1,0,0,0,1,2,2,2,1
791,1,2,0,2,1,0,0,2,1,0
643,2,2,1,1,1,1,2,2,0,0
372,1,1,2,2,2,1,2,1,2,1
300,1,2,2,1,2,1,2,1,2,1
939,0,0,1,2,0,1,2,2,1,0
294,2,0,0,0,2,0,1,1,2,1
625,0,0,0,0,1,1,2,2,2,1
532,0,1,2,2,1,2,1,0,2,1
365,1,1,2,2,2,2,2,1,1,1
116,2,1,2,2,1,1,2,0,0,1
